date,0
2020-02-29,100000.0
2020-03-31,100000.0
2020-04-30,100000.0
2020-05-31,100000.0
2020-06-30,100000.0
2020-07-31,100000.0
2020-08-31,100000.0
2020-09-30,100000.0
2020-10-31,100000.0
2020-11-30,100000.0
2020-12-31,100000.0
2021-01-31,100000.0
2021-02-28,100000.0
2021-03-31,99850.0
2021-04-30,104159.85527411314
2021-05-31,108258.22898149393
2021-06-30,108966.71277266441
2021-07-31,109644.5505910799
2021-08-31,116997.52014856256
2021-09-30,112708.55871799741
2021-10-31,129690.67293992323
2021-11-30,118599.1274642409
2021-12-31,120500.65369437126
2022-01-31,128410.20304664486
2022-02-28,126552.14842606446
2022-03-31,135532.66713139814
2022-04-30,121203.09271695714
2022-05-31,132974.78291533413
2022-06-30,119832.53780957144
2022-07-31,128370.25925524524
2022-08-31,119962.69718141924
2022-09-30,115264.81860413049
2022-10-31,131691.30302222795
2022-11-30,135195.68565194737
2022-12-31,132962.77229943912
2023-01-31,130568.69246842727
2023-02-28,122416.67741657262
2023-03-31,125547.35313196322
2023-04-30,132321.84819527992
2023-05-31,129497.17928722716
2023-06-30,138779.80873495105
2023-07-31,145435.99420375252
2023-08-31,153426.19443387922
2023-09-30,142169.29651082755
2023-10-31,139691.7237318711
2023-11-30,154776.12612609187
2023-12-31,164509.19529675785
2024-01-31,183324.76750682248
2024-02-29,217170.1591950411
2024-03-31,217216.68968846987
2024-04-30,204913.62027142168
2024-05-31,217095.71983263298
2024-06-30,238632.08024968713
2024-07-31,231314.7646150787
2024-08-31,247802.39419734466
2024-09-30,253438.88294176527
2024-10-31,251777.76215659923
2024-11-30,259080.9562411323
2024-12-31,275448.9486072832
2025-01-31,288993.4117771946
2025-02-28,283714.7814350976
2025-03-31,246557.93950166553
2025-04-30,261381.61671625625
2025-05-31,299605.3638714132
2025-06-30,312272.9729606801
2025-07-31,316894.6403066555
2025-08-31,316271.58437351533
2025-09-30,369829.73920563253
2025-10-31,373151.00427736697
2025-11-30,358069.32540947304
2025-12-31,355923.91120048397
2026-01-31,343845.83868186723
2026-02-28,347340.2579376362
2026-03-31,323778.91379923874
2026-04-30,358951.6335623495
